,Date,Total Prism,Normal,Boost
287,2022-12-18,102575342.46575342,82060273.97260274,20515068.493150685
288,2022-12-19,102931506.84931506,82345205.47945206,20586301.369863015
289,2022-12-20,103287671.23287672,82630136.98630138,20657534.246575344
290,2022-12-21,103643835.61643836,82915068.49315068,20728767.12328767
291,2022-12-22,104000000.0,83200000.0,20800000.0
292,2022-12-23,104356164.38356164,83484931.50684932,20871232.87671233
293,2022-12-24,104712328.76712328,83769863.01369864,20942465.75342466
294,2022-12-25,105068493.15068492,84054794.52054794,21013698.630136985
295,2022-12-26,105424657.53424658,84339726.02739726,21084931.506849315
296,2022-12-27,105780821.91780822,84624657.53424658,21156164.383561645
297,2022-12-28,106136986.30136986,84909589.0410959,21227397.260273974
298,2022-12-29,106493150.6849315,85194520.5479452,21298630.1369863
299,2022-12-30,106849315.06849314,85479452.05479452,21369863.01369863
300,2022-12-31,107205479.4520548,85764383.56164384,21441095.89041096
301,2023-01-01,107561643.83561644,86049315.06849316,21512328.76712329
302,2023-01-02,107917808.21917808,86334246.57534246,21583561.643835615
303,2023-01-03,108273972.60273972,86619178.08219178,21654794.520547945
304,2023-01-04,108630136.98630136,86904109.5890411,21726027.397260275
305,2023-01-05,108986301.36986302,87189041.09589042,21797260.273972604
306,2023-01-06,109342465.75342466,87473972.60273972,21868493.15068493
307,2023-01-07,109698630.1369863,87758904.10958904,21939726.02739726
308,2023-01-08,110054794.52054794,88043835.61643836,22010958.90410959
309,2023-01-09,110410958.90410958,88328767.12328768,22082191.78082192
310,2023-01-10,110767123.28767124,88613698.63013698,22153424.657534245
311,2023-01-11,111123287.67123288,88898630.1369863,22224657.534246575
312,2023-01-12,111479452.05479452,89183561.64383562,22295890.410958905
313,2023-01-13,111835616.43835616,89468493.15068494,22367123.287671234
314,2023-01-14,112191780.8219178,89753424.65753424,22438356.16438356
315,2023-01-15,112547945.20547944,90038356.16438356,22509589.04109589
316,2023-01-16,112904109.5890411,90323287.67123288,22580821.91780822
317,2023-01-17,113260273.97260274,90608219.1780822,22652054.79452055
318,2023-01-18,113616438.35616438,90893150.6849315,22723287.671232875
319,2023-01-19,113972602.73972602,91178082.19178082,22794520.547945205
320,2023-01-20,114328767.12328766,91463013.69863014,22865753.424657535
321,2023-01-21,114684931.50684932,91747945.20547946,22936986.301369864
322,2023-01-22,115041095.89041096,92032876.71232878,23008219.178082194
323,2023-01-23,115397260.2739726,92317808.21917808,23079452.05479452
324,2023-01-24,115753424.65753424,92602739.7260274,23150684.93150685
325,2023-01-25,116109589.04109588,92887671.23287672,23221917.80821918
326,2023-01-26,116465753.42465754,93172602.73972604,23293150.68493151
327,2023-01-27,116821917.80821918,93457534.24657534,23364383.561643835
328,2023-01-28,117178082.19178082,93742465.75342466,23435616.438356165
329,2023-01-29,117534246.57534246,94027397.26027398,23506849.315068495
330,2023-01-30,117890410.9589041,94312328.7671233,23578082.191780824
331,2023-01-31,118246575.34246576,94597260.2739726,23649315.06849315
332,2023-02-01,118602739.7260274,94882191.78082192,23720547.94520548
333,2023-02-02,118958904.10958904,95167123.28767124,23791780.82191781
334,2023-02-03,119315068.49315068,95452054.79452056,23863013.69863014
335,2023-02-04,119671232.87671232,95736986.30136986,23934246.575342465
336,2023-02-05,120027397.26027398,96021917.80821918,24005479.452054795
337,2023-02-06,120383561.64383562,96306849.3150685,24076712.328767125
338,2023-02-07,120739726.02739726,96591780.82191782,24147945.205479454
339,2023-02-08,121095890.4109589,96876712.32876712,24219178.08219178
340,2023-02-09,121452054.79452054,97161643.83561644,24290410.95890411
341,2023-02-10,121808219.17808218,97446575.34246576,24361643.83561644
342,2023-02-11,122164383.56164384,97731506.84931508,24432876.71232877
343,2023-02-12,122520547.94520548,98016438.35616438,24504109.589041095
344,2023-02-13,122876712.32876712,98301369.8630137,24575342.465753425
345,2023-02-14,123232876.71232876,98586301.36986302,24646575.342465755
346,2023-02-15,123589041.0958904,98871232.87671234,24717808.219178084
